,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
24101,koheloida,english,english,koheloida,,,,,
24186,koheta,become better,become better,koheta,,,,,
24187,kohista,rush,rush,kohista,,,,,
24188,kohmettaa,english,english,kohmettaa,,,,,
24301,kohuta,make a fuss,make a fuss,kohuta,,,,,
24302,koikkelehtia,walk in swaying manner,walk in swaying manner,koikkelehtia,,,,,
24415,kojeistaa,english,english,kojeistaa,,,,,
24556,kokoilla,do,do,kokoilla,,,,,
24641,koksata,coke,coke,koksata,,,,,
24698,koksittaa,do,do,koksittaa,,,,,
24839,kolauttaa,knock,knock,kolauttaa,,,,,
24840,kolhaista,dent,dent,kolhaista,,,,,
24981,kolisuttaa,clatter,clatter,kolisuttaa,,,,,
24982,kolkata,knock out,knock out,kolkata,,,,,
24983,kolkkaa,do,do,kolkkaa,,,,,
24984,kolkutella,knock,knock,kolkutella,,,,,
25013,kollata,check,check,kollata,,,,,
