,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
25014,kollektivisoida,collectivize,collectivize,kollektivisoida,,,,,
25015,kollektivoida,collectivize,collectivize,kollektivoida,,,,,
25016,kollottaa,cry loudly,cry loudly,kollottaa,,,,,
25017,kolminkertaistaa,triple,triple,kolminkertaistaa,,,,,
25102,kolonisoida,colonize,colonize,kolonisoida,,,,,
25131,koluta,scour,scour,koluta,,,,,
25132,kombinoida,combine,combine,kombinoida,,,,,
25161,komeilla,flaunt,flaunt,komeilla,,,,,
25302,kommitoida,commit,commit,kommitoida,,,,,
25331,kommutoida,commute,commute,kommutoida,,,,,
25332,komparoida,compare,compare,komparoida,,,,,
25361,kompastuttaa,english,english,kompastuttaa,,,,,
25446,komplisoida,complicate,complicate,komplisoida,,,,,
25503,kompromettoida,english,english,kompromettoida,,,,,
25532,kondensoida,condensate,condensate,kondensoida,,,,,
25561,koneellistaa,mechanize,mechanize,koneellistaa,,,,,
25646,konekirjoittaa,type,type,konekirjoittaa,,,,,
25647,konfirmoida,confirm,confirm,konfirmoida,,,,,
25648,kongruoida,agree,agree,kongruoida,,,,,
25649,konjugoida,conjugate,conjugate,konjugoida,,,,,
25678,konkreettistaa,concretize,concretize,konkreettistaa,,,,,
25707,konkretisoida,concretize,concretize,konkretisoida,,,,,
25736,konsentroida,concentrate,concentrate,konsentroida,,,,,
25765,konsertoida,hold a musical concert,hold a musical concert,konsertoida,,,,,
25766,konservoida,conservate,conservate,konservoida,,,,,
25851,kontrastoida,contrast,contrast,kontrastoida,,,,,
25908,konvergoida,converge,converge,konvergoida,,,,,
25937,koodittaa,english,english,koodittaa,,,,,
25938,koolata,english,english,koolata,,,,,
25939,koontaa,codify,codify,koontaa,,,,,
26052,kopahtaa,english,english,kopahtaa,,,,,
26053,kopata,catch,catch,kopata,,,,,
26054,kopautella,english,english,kopautella,,,,,
26055,kopauttaa,tap,tap,kopauttaa,,,,,
26112,kopista,clop,clop,kopista,,,,,
26113,kopistaa,english,english,kopistaa,,,,,
26114,kopisuttaa,english,english,kopisuttaa,,,,,
26143,kopsahtaa,english,english,kopsahtaa,,,,,
26172,kopsauttaa,english,english,kopsauttaa,,,,,
26173,koputella,knock,knock,koputella,,,,,
26202,korahdella,croak repetitively,croak repetitively,korahdella,,,,,
26203,korahtaa,croak,croak,korahtaa,,,,,
26232,koripalloilla,play basketball,play basketball,koripalloilla,,,,,
26429,korjauttaa,have something repaired,have something repaired,korjauttaa,,,,,
26458,korjeta,become higher,become higher,korjeta,,,,,
26459,korjuuttaa,do,do,korjuuttaa,,,,,
26488,korkita,cork,cork,korkita,,,,,
26489,korkittaa,cork,cork,korkittaa,,,,,
26602,korota,become higher,become higher,korota,,,,,
26631,korotuttaa,english,english,korotuttaa,,,,,
26716,korruptoida,corrupt,corrupt,korruptoida,,,,,
26829,kortittaa,english,english,kortittaa,,,,,
26830,koruommella,embroider,embroider,koruommella,,,,,
26859,korvamerkitä,earmark,earmark,korvamerkitä,,,,,
27252,koteloida,encapsulate,encapsulate,koteloida,,,,,
27281,kotimaistaa,make,make,kotimaistaa,,,,,
27450,kotouttaa,integrate,integrate,kotouttaa,,,,,
27451,kouhottaa,english,english,kouhottaa,,,,,
27480,koukeroida,english,english,koukeroida,,,,,
27537,koukuta,english,english,koukuta,,,,,
27566,koulata,do,do,koulata,,,,,
27567,koulia,coach,coach,koulia,,,,,
27708,kouraista,english,english,kouraista,,,,,
27737,kouristaa,grasp,grasp,kouristaa,,,,,
27766,kouruttaa,english,english,kouruttaa,,,,,
27795,kovarioida,covary,covary,kovarioida,,,,,
27852,kovertaa,gouge,gouge,kovertaa,,,,,
27965,kovistaa,come down harshly on someone,come down harshly on someone,kovistaa,,,,,
27966,kovistella,bully,bully,kovistella,,,,,
27967,kovittaa,english,english,kovittaa,,,,,
27968,kraapustaa,do,do,kraapustaa,,,,,
27969,kraavata,do,do,kraavata,,,,,
27998,krampata,convulse,convulse,krampata,,,,,
27999,kreditoida,do,do,kreditoida,,,,,
28028,kreikkalaistaa,do,do,kreikkalaistaa,,,,,
28029,kreikkalaistua,do,do,kreikkalaistua,,,,,
28058,krepata,process yarn so as to,process yarn so as to,krepata,,,,,
28059,kriminaalistaa,criminalize,criminalize,kriminaalistaa,,,,,
28088,kriminalisoitua,be criminalized,be criminalized,kriminalisoitua,,,,,
28089,kristallisoida,crystallize,crystallize,kristallisoida,,,,,
28118,kristalloida,crystallize,crystallize,kristalloida,,,,,
28147,kritikoida,criticize,criticize,kritikoida,,,,,
28176,krokata,croquet,croquet,krokata,,,,,
28205,kromioida,chrome,chrome,kromioida,,,,,
28206,kromittaa,chrome,chrome,kromittaa,,,,,
28207,kronikoida,chronicle,chronicle,kronikoida,,,,,
28236,kroonistaa,make chronic,make chronic,kroonistaa,,,,,
28265,kruksata,cross,cross,kruksata,,,,,
28294,kruunauttaa,crown,crown,kruunauttaa,,,,,
28295,kruusailla,do,do,kruusailla,,,,,
28296,kruusata,gild the lily,gild the lily,kruusata,,,,,
28325,kryssiä,tack,tack,kryssiä,,,,,
28326,kränätä,english,english,kränätä,,,,,
28327,kuherrella,do,do,kuherrella,,,,,
28328,kuhertaa,bill,bill,kuhertaa,,,,,
28357,kuhkia,stay up late at night,stay up late at night,kuhkia,,,,,
28414,kuiduttaa,fiberize,fiberize,kuiduttaa,,,,,
28415,kuihduttaa,wilt,wilt,kuihduttaa,,,,,
28472,kuiskailla,whisper,whisper,kuiskailla,,,,,
28501,kuiskia,whisper,whisper,kuiskia,,,,,
28642,kuivatella,dry,dry,kuivatella,,,,,
28755,kukertaa,do,do,kukertaa,,,,,
28840,kukkoilla,strut stuff,strut stuff,kukkoilla,,,,,
28897,kuksia,have sex,have sex,kuksia,,,,,
28898,kukuttaa,make something,make something,kukuttaa,,,,,
28899,kuleksia,wander,wander,kuleksia,,,,,
29068,kullastaa,do,do,kullastaa,,,,,
29097,kulmata,english,english,kulmata,,,,,
29210,kultivoida,cultivate,cultivate,kultivoida,,,,,
29491,kummastuttaa,puzzle,puzzle,kummastuttaa,,,,,
29520,kummeksia,do,do,kummeksia,,,,,
29549,kummeksuttaa,do,do,kummeksuttaa,,,,,
29550,kummeta,get any better,get any better,kummeta,,,,,
29551,kummuta,evolve from,evolve from,kummuta,,,,,
29580,kumottaa,get nervous,get nervous,kumottaa,,,,,
29609,kumpuilla,do,do,kumpuilla,,,,,
29666,kunnallistaa,municipalize,municipalize,kunnallistaa,,,,,
29779,kuntouttaa,rehabilitate,rehabilitate,kuntouttaa,,,,,
29808,kuohahtaa,boil,boil,kuohahtaa,,,,,
29865,kuohketa,become fluffy,become fluffy,kuohketa,,,,,
30202,kuopaista,english,english,kuopaista,,,,,
30427,kuormata,load,load,kuormata,,,,,
30540,kuparoida,copper,copper,kuparoida,,,,,
30653,kuplittaa,sparge,sparge,kuplittaa,,,,,
30654,kupristaa,do,do,kupristaa,,,,,
30851,kuristautua,strangle,strangle,kuristautua,,,,,
31020,kurkottaa,reach out,reach out,kurkottaa,,,,,
31133,kurottaa,reach,reach,kurottaa,,,,,
31246,kursia,tack,tack,kursia,,,,,
31275,kurtata,fold,fold,kurtata,,,,,
31276,kurtiseerata,flirt,flirt,kurtiseerata,,,,,
31557,kuteloida,tickle,tickle,kuteloida,,,,,
31642,kutitella,tickle,tickle,kutitella,,,,,
31671,kutkuta,do,do,kutkuta,,,,,
31840,kuukkia,do,do,kuukkia,,,,,
31841,kuulalaakeroida,equip with ball bearings,equip with ball bearings,kuulalaakeroida,,,,,
32010,kuuluttaa,announce,announce,kuuluttaa,,,,,
32011,kuumavalssata,hot roll,hot roll,kuumavalssata,,,,,
32152,kuurata,scrub,scrub,kuurata,,,,,
32153,kuurnita,sieve,sieve,kuurnita,,,,,
32154,kuurouttaa,deafen,deafen,kuurouttaa,,,,,
32435,kuvioida,pattern,pattern,kuvioida,,,,,
32520,kvalifioida,qualify,qualify,kvalifioida,,,,,
32521,kvantifioida,quantify,quantify,kvantifioida,,,,,
32522,kvantittaa,quantize,quantize,kvantittaa,,,,,
32579,kydöttää,do,do,kydöttää,,,,,
32580,kyetä,be able to,be able to,kyetä,,,,,
32581,kyhjöttää,crouch,crouch,kyhjöttää,,,,,
32582,kyhnyttää,rub,rub,kyhnyttää,,,,,
32583,kyhätä,create hastily and with a,create hastily and with a,kyhätä,,,,,
32584,kykkiä,do,do,kykkiä,,,,,
32585,kyllästyä,be saturated,be saturated,kyllästyä,,,,,
32586,kyllästää,impregnate,impregnate,kyllästää,,,,,
32587,kylläännyttää,do,do,kylläännyttää,,,,,
32588,kyllääntyä,do,do,kyllääntyä,,,,,
32589,kylmentyä,become colder,become colder,kylmentyä,,,,,
32590,kylmentää,cool,cool,kylmentää,,,,,
32591,kylmettyä,catch a cold,catch a cold,kylmettyä,,,,,
32592,kylmetä,become coldcolder,become coldcolder,kylmetä,,,,,
32593,kylmätä,chill,chill,kylmätä,,,,,
32594,kylmävalssata,do,do,kylmävalssata,,,,,
32595,kylpeä,bathe,bathe,kylpeä,,,,,
32596,kyltyä,become satiated,become satiated,kyltyä,,,,,
32597,kylvettää,bath someone,bath someone,kylvettää,,,,,
32598,kylvää,sow,sow,kylvää,,,,,
32599,kyläillä,visit,visit,kyläillä,,,,,
32600,kyniä,pluck,pluck,kyniä,,,,,
32601,kynsiä,claw,claw,kynsiä,,,,,
32602,kynsäistä,scratch,scratch,kynsäistä,,,,,
32603,kynttää,rabbet,rabbet,kynttää,,,,,
32604,kyntää,do,do,kyntää,,,,,
32605,kypsentyä,do,do,kypsentyä,,,,,
32606,kypsentää,cook,cook,kypsentää,,,,,
32607,kypsetä,bake,bake,kypsetä,,,,,
32608,kypsyttää,cook,cook,kypsyttää,,,,,
32609,kypsyä,cook,cook,kypsyä,,,,,
32610,kyrpiintyä,become pissed off,become pissed off,kyrpiintyä,,,,,
32611,kyrpiä,annoy,annoy,kyrpiä,,,,,
32668,kysellä,ask,ask,kysellä,,,,,
32669,kysyä,ask,ask,kysyä,,,,,
32670,kysäistä,ask,ask,kysäistä,,,,,
32671,kyteä,do,do,kyteä,,,,,
32672,kytkeytyä,attach to,attach to,kytkeytyä,,,,,
32673,kytkeä,hook,hook,kytkeä,,,,,
32674,kytätä,watch,watch,kytätä,,,,,
32675,kyyditä,drive,drive,kyyditä,,,,,
32676,kyykistyä,squat,squat,kyykistyä,,,,,
32677,kyykkiä,crouch,crouch,kyykkiä,,,,,
32678,kyylätä,english,english,kyylätä,,,,,
32679,kyynelehtiä,shed tears,shed tears,kyynelehtiä,,,,,
32680,kyyneltyä,become filled with tears,become filled with tears,kyyneltyä,,,,,
32681,kyynelöidä,shed tears,shed tears,kyynelöidä,,,,,
32682,kyynelöityä,burst into tears,burst into tears,kyynelöityä,,,,,
32683,kyyristellä,crouch,crouch,kyyristellä,,,,,
32684,kyyristyä,crouch,crouch,kyyristyä,,,,,
32685,kyyristää,crouch,crouch,kyyristää,,,,,
32686,kyytiä,give a ride,give a ride,kyytiä,,,,,
32687,kyörätä,english,english,kyörätä,,,,,
32688,kähertyä,english,english,kähertyä,,,,,
32689,kähertää,wave,wave,kähertää,,,,,
32690,kähetä,become hoarse,become hoarse,kähetä,,,,,
32691,käheytyä,become hoarse,become hoarse,käheytyä,,,,,
32692,kähistä,croak,croak,kähistä,,,,,
32693,kähmiä,grope,grope,kähmiä,,,,,
32694,kähveltää,nick,nick,kähveltää,,,,,
32695,käkättää,laugh coarsely andor in an,laugh coarsely andor in an,käkättää,,,,,
32696,kämmentää,do,do,kämmentää,,,,,
32697,kämmätä,screw up,screw up,kämmätä,,,,,
32698,känistä,english,english,känistä,,,,,
32699,kännätä,drink,drink,kännätä,,,,,
32700,känsistyä,form callus,form callus,känsistyä,,,,,
32701,känsittyä,form callus,form callus,känsittyä,,,,,
32702,käpertyä,curl up,curl up,käpertyä,,,,,
32703,käpertää,do,do,käpertää,,,,,
32704,käppäillä,walk,walk,käppäillä,,,,,
32705,käpristyä,curl up,curl up,käpristyä,,,,,
32706,käpristää,make to curl up,make to curl up,käpristää,,,,,
32707,käpyillä,tat,tat,käpyillä,,,,,
32708,käpälöidä,paw,paw,käpälöidä,,,,,
32709,käpätä,do,do,käpätä,,,,,
32710,kärhämöidä,quarrel,quarrel,kärhämöidä,,,,,
32711,käristyä,fry,fry,käristyä,,,,,
32712,käristä,do,do,käristä,,,,,
32713,käristää,do,do,käristää,,,,,
32714,kärjistyä,culminate,culminate,kärjistyä,,,,,
32715,kärjistää,exaggerate by generalisinggeneralizing,exaggerate by generalisinggeneralizing,kärjistää,,,,,
32716,kärkkyä,hang about for,hang about for,kärkkyä,,,,,
32717,kärrätä,cart,cart,kärrätä,,,,,
32718,kärsiä,suffer from,suffer from,kärsiä,,,,,
32719,kärttää,beg,beg,kärttää,,,,,
32720,kärventyä,scorch,scorch,kärventyä,,,,,
32721,kärventää,scorch,scorch,kärventää,,,,,
32722,käryttää,smoke,smoke,käryttää,,,,,
32723,kärytä,smoke,smoke,kärytä,,,,,
32724,kärähtää,scorch,scorch,kärähtää,,,,,
32725,käräjöidä,litigate on,litigate on,käräjöidä,,,,,
32726,käräyttää,scorch,scorch,käräyttää,,,,,
32727,käsikirjoittaa,write a manuscript,write a manuscript,käsikirjoittaa,,,,,
32728,käsitellä,handle,handle,käsitellä,,,,,
32729,käsitteellistää,conceptualize,conceptualize,käsitteellistää,,,,,
32730,käsitteistää,do,do,käsitteistää,,,,,
32731,käsittää,understand,understand,käsittää,,,,,
32732,käskettää,order to somebody to order,order to somebody to order,käskettää,,,,,
32733,käskeä,order,order,käskeä,,,,,
32734,kässätä,reckon,reckon,kässätä,,,,,
32735,kätellä,shake hands with,shake hands with,kätellä,,,,,
32736,kätilöidä,midwife,midwife,kätilöidä,,,,,
32737,kätkeytyä,hide into,hide into,kätkeytyä,,,,,
32738,kätkeä,hide,hide,kätkeä,,,,,
32739,kävellä unissaan,sleepwalk,sleepwalk,kävellä unissaan,,,,,
32740,kävellä,walk,walk,kävellä,,,,,
32741,kävelyttää,walk,walk,kävelyttää,,,,,
32742,käväistä,make a short visit,make a short visit,käväistä,,,,,
32743,käydä käsiksi,attack,attack,käydä käsiksi,,,,,
32744,käydä läpi,go through,go through,käydä läpi,,,,,
32745,käydä pitkäkseen,lie down,lie down,käydä pitkäkseen,,,,,
32746,käydä vieraissa,cheat on,cheat on,käydä vieraissa,,,,,
32747,käydä,go,go,käydä,,,,,
32748,käynnistyä,start,start,käynnistyä,,,,,
32749,käynnistää,start,start,käynnistää,,,,,
32750,käyristyä,bend,bend,käyristyä,,,,,
32751,käyristää,bend,bend,käyristää,,,,,
32752,käyskennellä,saunter,saunter,käyskennellä,,,,,
32753,käyttäytyä,behave,behave,käyttäytyä,,,,,
32754,käyttää hyväksi,take advantage of,take advantage of,käyttää hyväksi,,,,,
32755,käyttää,use,use,käyttää,,,,,
32756,käytännöllistyä,become practical,become practical,käytännöllistyä,,,,,
32757,käytännöllistää,make practical,make practical,käytännöllistää,,,,,
32758,käämiä,coil,coil,käämiä,,,,,
32759,käännellä,turn,turn,käännellä,,,,,
32760,käännyttää,convert,convert,käännyttää,,,,,
32761,käännähtää,turn quickly,turn quickly,käännähtää,,,,,
32762,kääntyä jonkun puoleen,approach someone,approach someone,kääntyä jonkun puoleen,,,,,
32763,kääntyä,change direction,change direction,kääntyä,,,,,
32764,kääntää,turn,turn,kääntää,,,,,
32765,kääpiöidä,stunt,stunt,kääpiöidä,,,,,
32766,kääpiöityä,dwarf,dwarf,kääpiöityä,,,,,
32767,kääriintyä,do,do,kääriintyä,,,,,
32768,kääriytyä,wrap into,wrap into,kääriytyä,,,,,
32769,kääriä,wrap,wrap,kääriä,,,,,
32770,kääräistä,wrap quickly,wrap quickly,kääräistä,,,,,
32771,köhistä,rasp,rasp,köhistä,,,,,
32772,köhiä,hack,hack,köhiä,,,,,
32773,kökkiä,loiter,loiter,kökkiä,,,,,
32774,kökötellä,english,english,kökötellä,,,,,
32775,kököttää,stay firmly at one place,stay firmly at one place,kököttää,,,,,
32776,köllötellä,lie back and relax,lie back and relax,köllötellä,,,,,
32777,kömpelöityä,become more clumsy,become more clumsy,kömpelöityä,,,,,
32778,kömpiä,move clumsily,move clumsily,kömpiä,,,,,
32779,köntystellä,english,english,köntystellä,,,,,
32780,köntystää,lumber,lumber,köntystää,,,,,
32781,könytä,scramble,scramble,könytä,,,,,
32782,könöttää,stay firmly at one place,stay firmly at one place,könöttää,,,,,
32783,köpitellä,english,english,köpitellä,,,,,
32784,körötellä,english,english,körötellä,,,,,
32785,köyhdyttää,impoverish,impoverish,köyhdyttää,,,,,
32786,köyhentyä,do,do,köyhentyä,,,,,
32787,köyhetä,become poorer,become poorer,köyhetä,,,,,
32788,köyhtyä,become poorer,become poorer,köyhtyä,,,,,
32789,köyhäillä,english,english,köyhäillä,,,,,
32790,köykistyä,squat,squat,köykistyä,,,,,
32791,köykistää,squat,squat,köykistää,,,,,
32792,köynnehtiä,do,do,köynnehtiä,,,,,
32793,köynnöstää,grow,grow,köynnöstää,,,,,
32794,köyristellä,do,do,köyristellä,,,,,
32795,köyristyä,english,english,köyristyä,,,,,
32796,köyristää,arch,arch,köyristää,,,,,
32797,köyttää,rope,rope,köyttää,,,,,
32798,laadullistaa,qualify,qualify,laadullistaa,,,,,
32883,laahia,hone,hone,laahia,,,,,
32996,laakeroida,equip with bearings,equip with bearings,laakeroida,,,,,
33025,laasta,sweep,sweep,laasta,,,,,
33054,laastita,plaster,plaster,laastita,,,,,
33083,laatata,puke,puke,laatata,,,,,
33112,laatikoida,box,box,laatikoida,,,,,
33141,laboroida,perform laboratory work,perform laboratory work,laboroida,,,,,
33422,laihentaa,thin,thin,laihentaa,,,,,
33619,laimeta,be diluted,be diluted,laimeta,,,,,
33620,laiminlyödä,neglect,neglect,laiminlyödä,,,,,
33621,laimistaa,dilute,dilute,laimistaa,,,,,
33650,lainailla,borrow repeatedly,borrow repeatedly,lainailla,,,,,
33735,lainelautailla,surf,surf,lainelautailla,,,,,
33988,laittaa nukkumaan,put to sleep,put to sleep,laittaa nukkumaan,,,,,
33989,laittaa pois päältä,turn off,turn off,laittaa pois päältä,,,,,
33990,laittaa päälle,turn on,turn on,laittaa päälle,,,,,
34103,lajittaa,do,do,lajittaa,,,,,
34496,laminoida,laminate,laminate,laminoida,,,,,
34553,langata,floss,floss,langata,,,,,
34806,lantata,english,english,lantata,,,,,
34835,laottaa,lodge,lodge,laottaa,,,,,
34948,laseerata,do,do,laseerata,,,,,
35005,laskea yhteen,add,add,laskea yhteen,,,,,
35034,laskelmoida,calculate,calculate,laskelmoida,,,,,
35091,laskettaa,have,have,laskettaa,,,,,
35288,lastuta,english,english,lastuta,,,,,
35317,latinaistaa,latinize,latinize,latinaistaa,,,,,
35318,latinalaistaa,do,do,latinalaistaa,,,,,
35347,latinisoida,latinize,latinize,latinisoida,,,,,
35348,latinoida,latinize,latinize,latinoida,,,,,
35349,latistaa,flatten,flatten,latistaa,,,,,
35518,lauhduttaa,condense,condense,lauhduttaa,,,,,
35519,lauhentaa,make,make,lauhentaa,,,,,
35800,lautata,english,english,lautata,,,,,
35829,laveerata,paint using the wash technique,paint using the wash technique,laveerata,,,,,
35886,laverrella,chatter,chatter,laverrella,,,,,
35887,legaalistaa,legalize,legalize,legaalistaa,,,,,
35888,legalisoida,do,do,legalisoida,,,,,
35917,lehahtaa,waft,waft,lehahtaa,,,,,
35918,lehdestää,do,do,lehdestää,,,,,
35919,lehtiä,grow leaves,grow leaves,lehtiä,,,,,
35948,leijata,do,do,leijata,,,,,
36005,leikellä,shave,shave,leikellä,,,,,
36034,leikkauttaa,have something cut,have something cut,leikkauttaa,,,,,
36063,leikkiä,play,play,leikkiä,,,,,
36148,leimuta,blaze,blaze,leimuta,,,,,
36205,leipääntyä,get irritated,get irritated,leipääntyä,,,,,
36206,leiriytyä,camp,camp,leiriytyä,,,,,
36235,leivittää,breadcrumb,breadcrumb,leivittää,,,,,
36264,lekotella,lounge,lounge,lekotella,,,,,
36265,lekottaa,lounge,lounge,lekottaa,,,,,
36266,lelliä,spoil,spoil,lelliä,,,,,
36295,lemmiskellä,make love,make love,lemmiskellä,,,,,
36324,lempiä,make love,make love,lempiä,,,,,
36381,lenkkeillä,jog,jog,lenkkeillä,,,,,
36382,lennellä,fly back and forth at,fly back and forth at,lennellä,,,,,
36383,lennättää,fly,fly,lennättää,,,,,
36384,lentää,fly,fly,lentää,,,,,
36413,lepertää,babble,babble,lepertää,,,,,
36414,leppyä,relent,relent,leppyä,,,,,
36471,leskeytyä,become a widow,become a widow,leskeytyä,,,,,
36472,lesottaa,brag,brag,lesottaa,,,,,
36473,lespata,lisp,lisp,lespata,,,,,
36474,lestä,refine grains,refine grains,lestä,,,,,
36475,letittää,braid,braid,letittää,,,,,
36476,leudontaa,make,make,leudontaa,,,,,
36505,leudota,english,english,leudota,,,,,
36534,leveillä,flaunt,flaunt,leveillä,,,,,
36535,leventyä,broaden,broaden,leventyä,,,,,
36536,leventää,broaden,broaden,leventää,,,,,
36537,levetä,widen,widen,levetä,,,,,
36566,levittyä,spread,spread,levittyä,,,,,
36567,levittäytyä,spread out,spread out,levittäytyä,,,,,
36568,levittää,spread,spread,levittää,,,,,
36569,levitä,spread,spread,levitä,,,,,
36570,levyttää,make a musical record,make a musical record,levyttää,,,,,
36571,levähtää,rest for a while,rest for a while,levähtää,,,,,
36572,levätä,rest,rest,levätä,,,,,
36573,leyhytellä,fan,fan,leyhytellä,,,,,
36574,leyhyä,english,english,leyhyä,,,,,
36575,leyhähdellä,waft,waft,leyhähdellä,,,,,
36576,leyhähtää,waft,waft,leyhähtää,,,,,
36605,liberaalistaa,do,do,liberaalistaa,,,,,
36634,liberalisoida,liberalize,liberalize,liberalisoida,,,,,
36663,liehakoida,court,court,liehakoida,,,,,
36748,liekehtiä,flame,flame,liekehtiä,,,,,
36749,liekittää,do,do,liekittää,,,,,
36750,lientyä,alleviate,alleviate,lientyä,,,,,
36751,lientää,do,do,lientää,,,,,
36752,liestyä,fray,fray,liestyä,,,,,
36753,liesuta,english,english,liesuta,,,,,
36782,lietsuta,english,english,lietsuta,,,,,
36783,liettyä,silt up,silt up,liettyä,,,,,
36784,liettää,silt,silt,liettää,,,,,
36785,lieventyä,be mitigated,be mitigated,lieventyä,,,,,
36786,lieventää,mitigate,mitigate,lieventää,,,,,
36787,lievetä,do,do,lievetä,,,,,
36788,lievittyä,ease,ease,lievittyä,,,,,
36789,lievittää,ease,ease,lievittää,,,,,
36930,liidellä,glide effortlessly back and forth,glide effortlessly back and forth,liidellä,,,,,
36931,liiduta,chalk,chalk,liiduta,,,,,
36932,liietä,do,do,liietä,,,,,
36961,liihotella,flit,flit,liihotella,,,,,
37018,liikarakentaa,overbuild,overbuild,liikarakentaa,,,,,
37047,liikauttaa,move a little,move a little,liikauttaa,,,,,
37048,liikehtiä,move,move,liikehtiä,,,,,
